populationSize,chromosomeSize,maxiter,p_cross,p_mutation,minDist,maxDist,elitismCount,alpha_sparsity,beta_space_penalty,PSLL,Activate_number,SparsityLevel,Illegal_positions,Time,Stopat
100,30,1000,0.6,0.2,2,5,2,0,200,16.1237,14,0.4667,0,64.4079,498
100,30,1000,0.8,0.1,2,5,2,0,200,16.1237,14,0.4667,0,60.9578,325
100,30,1000,0.8,0.1,2,5,2,0,200,16.1237,14,0.4667,0,73.7661,143
100,30,1000,0.8,0.1,2,5,2,0,200,16.1237,14,0.4667,0,70.3705,153
100,30,1000,0.8,0.1,2,5,2,0,200,16.1237,14,0.4667,0,61.7667,17
100,30,1000,0.8,0.1,2,5,2,0,200,16.1237,14,0.4667,0,70.4514,80
100,30,1000,0.9,0.05,2,5,2,0,200,16.1237,14,0.4667,0,56.8284,303
100,30,1000,0.9,0.05,2,5,2,0,200,16.1237,14,0.4667,0,58.3821,90
100,30,1000,0.9,0.05,2,5,2,0,200,16.1237,14,0.4667,0,57.4248,78
100,30,1000,0.9,0.05,2,5,2,10,200,16.1237,14,0.4667,0,62.9497,675
100,30,1000,0.9,0.05,2,5,2,20,200,10.0143,11,0.3667,0,60.6389,1
100,30,1000,0.9,0.05,2,5,2,15,200,15.8924,13,0.4333,0,57.5282,326
100,30,1000,0.9,0.05,2,5,2,17,200,15.563,12,0.4,0,59.9132,424
100,30,1000,0.6,0.6,2,5,2,0,200,9.2426,10,0.3333,0,63.0779,2
100,30,1000,0.9,0.05,2,5,2,0,200,16.1234,14,0.4667,0,63.1353,234
100,30,1000,0.9,0.7,2,5,2,0,200,11.9281,13,0.4333,0,57.2788,1
100,30,1000,1,1,2,5,2,0,200,8.8658,11,0.3667,0,57.9033,2
100,30,500,1,1,2,5,2,10,200,10.83,11,0.3667,0,30.909,1
100,30,500,0.9,0.05,2,5,2,30,200,10.6768,11,0.3667,0,30.8608,1
100,30,500,0.9,0.05,2,5,2,30,200,5.9581,9,0.3,0,37.4228,6
100,30,500,0.8,0.2,2,5,2,30,200,0,3,0.1,0,35.8608,22
100,30,500,0.8,0.2,2,5,2,30,200,8.5132,10,0.3333,0,35.5714,3
100,30,500,0.8,0.7,2,5,2,30,200,8.4247,10,0.3333,0,36.1769,1
100,30,500,0.8,0.05,2,5,0,30,200,8.478,10,0.3333,0,30.0579,2
100,30,500,0.8,0.05,2,5,4,30,200,9.0959,10,0.3333,0,29.9321,1
