populationSize,chromosomeSize,maxiter,minDist,alpha_sparsity,PSLL,Activate_number,SparsityLevel,Illegal_positions,Time,Stopat,
1000,1000,2000,1,0,32.1783,645,0.645,0,995.4357,1955,验证model，不必理会
1000,1000,2000,1,15,26.6347,330,0.33,0,938.629,1939,
1000,1000,2000,1,10,27.7229,570,0.57,0,936.3932,1334,
1000,1000,2000,1,14,26.3588,341,0.341,0,965.0469,1937,
1000,1000,2000,1,12,27.1011,505,0.505,0,925.6548,1924,
1000,1000,2000,1,13,26.2544,430,0.43,0,1191.5066,1883,
1000,1000,2000,1,20,25.6474,278,0.278,0,1053.7828,1433,
1000,1000,2000,1,25,21.9573,172,0.172,0,925.3178,1578,
1000,1000,2000,1,30,19.9557,135,0.135,0,976.8025,1541,
1000,2000,2000,2,0,20.5989,631,0.3155,0,2618.2725,663,grid增加 定义域要变
1000,2000,2000,2,0,28.9805,643,0.3215,0,2304.932,1,
1000,2000,2000,2,12,28.9805,643,0.3215,0,2469.3695,1,
1000,2000,2000,2,26,24.8519,303,0.1515,0,2165.2599,1578,
1000,2000,2000,2,13,28.044,609,0.3045,0,2327.9225,1685,
1000,2000,2000,2,20,27.4271,555,0.2775,0,2788.8343,1940,
1000,2000,2000,2,23,26.1309,430,0.215,0,2860.1402,1,
1000,2000,2000,2,22,27.0626,510,0.255,0,2916.2974,1972,
1000,2000,2000,2,2.25E+01,27.3661,535,0.2675,0,2998.4599,1491,
1000,2000,2000,2,2.28E+01,27.5994,535,0.2675,0,2864.3416,1977,
1000,2000,2000,2,23,27.5816,509,0.2545,1,2503.6587,1830,
1000,2000,4000,2,2.32E+01,27.565,488,0.244,0,4615.3702,3751,
1000,2000,2000,2,55,19.9436,135,0.0675,0,2337.0712,1,
1000,2000,2000,2,50,19.9436,135,0.0675,0,2250.8716,1,
1000,2000,2000,2,40,22.8328,147,0.0735,0,2620.2473,1664,
1000,2000,2000,2,42,21.6464,181,0.0905,0,2749.9558,1085,
1000,2000,2000,2,4.25E+01,22.3312,155,0.0775,0,2322.5246,1956,有一个不合法出现 最后要修改
1000,2000,2000,2,45,21.2085,131,0.0655,0,2658.3589,1468,有一个不合法出现 最后要修改
1000,2000,2000,2,9,28.9805,643,0.3215,0,2400.6407,1,
1000,2000,2000,2,3,28.8151,666,0.333,0,2227.7284,1791,
1000,4000,2000,4,2,28.8316,666,0.1665,0,6137.3817,1,
1000,2000,3000,2,26,23.9576,189,0.0945,0,3782.4319,2474,
